Name,Platform,Year_of_Release,Genre
 Fire Emblem Fates,3DS,2015,Role-Playing
3rd Super Robot Wars Z: Tengoku-Hen,PSV,2015,Action
3rd Super Robot Wars Z: Tengoku-Hen,PS3,2015,Action
7 Roses: A Darkness Rises,PC,2015,Misc
7th Dragon III Code: VFD,3DS,2015,Role-Playing
A Good Librarian Like a Good Shepherd: Library Party,PSV,2015,Action
Abunai: Koi no Sousa Shitsu,PSV,2015,Action
Act of Aggression,PC,2015,Strategy
Adventure Time: Finn & Jake Investigations,PS4,2015,Action
Adventure Time: Finn & Jake Investigations,PS3,2015,Action
Adventure Time: Finn & Jake Investigations,3DS,2015,Action
Adventure Time: Finn & Jake Investigations,X360,2015,Action
Adventure Time: Finn & Jake Investigations,XOne,2015,Action
Adventure Time: Finn & Jake Investigations,WiiU,2015,Action
Aikatsu! My No.1 Stage!,3DS,2015,Misc
Airship Q,PSV,2015,Platform
Alia's Carnival! Sacrament,PSV,2015,Adventure
Amatsumi Sora ni! Kumo no Hatate ni,PSV,2015,Adventure
Angelique Retour,PSV,2015,Action
Animal Crossing: Amiibo Festival,WiiU,2015,Misc
Animal Crossing: Happy Home Designer,3DS,2015,Simulation
Anno 2205,PC,2015,Strategy
Arcania: Gothic 4,PS4,2015,Role-Playing
Arslan: The Warriors of Legend,PS4,2015,Action
Arslan: The Warriors of Legend,PS3,2015,Action
Art Academy: Home Studio,WiiU,2015,Misc
Assassination Classroom: Grand Siege on Kuro-sensei,3DS,2015,Action
Assassin's Creed Chronicles: China,PS4,2015,Action
Assassin's Creed Syndicate,PS4,2015,Action
Assassin's Creed Syndicate,XOne,2015,Action
Assassin's Creed Syndicate,PC,2015,Action
Assassin's Creed: Rogue,PC,2015,Action
Atelier Escha & Logy: Alchemists of the Dusk Sky,PSV,2015,Role-Playing
Atelier Sophie: The Alchemist of the Mysterious Book,PS4,2015,Role-Playing
Atelier Sophie: The Alchemist of the Mysterious Book,PSV,2015,Role-Playing
Atelier Sophie: The Alchemist of the Mysterious Book,PS3,2015,Role-Playing
Back to the Future: The Game,PS4,2015,Adventure
Back to the Future: The Game,X360,2015,Adventure
Back to the Future: The Game,XOne,2015,Adventure
Bad Apple Wars,PSV,2015,Action
Barbie and Her Sisters Puppy Rescue,3DS,2015,Action
Barbie and Her Sisters Puppy Rescue,Wii,2015,Action
Barbie and Her Sisters Puppy Rescue,WiiU,2015,Action
Batman: Arkham Knight,PS4,2015,Action
Batman: Arkham Knight,XOne,2015,Action
Batman: Arkham Knight,PC,2015,Action
Battlefield: Hardline,PS4,2015,Shooter
Battlefield: Hardline,XOne,2015,Shooter
Battlefield: Hardline,PS3,2015,Shooter
Battlefield: Hardline,X360,2015,Shooter
Battlefield: Hardline,PC,2015,Shooter
Blade Arcus from Shining EX,PS4,2015,Fighting
Blade Arcus from Shining EX,PS3,2015,Fighting
Bladestorm: Nightmare,PS4,2015,Action
Bladestorm: Nightmare,XOne,2015,Action
Bladestorm: Nightmare,PS3,2015,Action
BlazBlue: Chrono Phantasma Extend,PS4,2015,Action
BlazBlue: Chrono Phantasma Extend,XOne,2015,Action
BlazBlue: Chrono Phantasma Extend,PS3,2015,Action
BlazBlue: Chrono Phantasma Extend,PSV,2015,Action
Bloodborne,PS4,2015,Action
Borderlands: The Handsome Collection,PS4,2015,Shooter
Borderlands: The Handsome Collection,XOne,2015,Shooter
Bravely Second: End Layer,3DS,2015,Role-Playing
Broken Sword 5: The Serpent's Curse,PS4,2015,Adventure
Broken Sword 5: The Serpent's Curse,XOne,2015,Adventure
Brothers: A Tale of Two Sons,PS4,2015,Adventure
Brothers: A Tale of Two Sons,XOne,2015,Adventure
Call of Duty: Black Ops 3,PS4,2015,Shooter
Call of Duty: Black Ops 3,XOne,2015,Shooter
Call of Duty: Black Ops 3,X360,2015,Shooter
Call of Duty: Black Ops 3,PS3,2015,Shooter
Call of Duty: Black Ops 3,PC,2015,Shooter
Chaos;Child,PSV,2015,Adventure
Chaos;Child,PS4,2015,Adventure
Chaos;Child,PS3,2015,Adventure
Chibi-Robo! Zip Lash,3DS,2015,Platform
Cities: Skylines,PC,2015,Simulation
Civilization Beyond Earth: Rising Tide,PC,2015,Strategy
Clock Zero: Shuuen no Ichibyou - ExTime,PSV,2015,Action
Code Name: S.T.E.A.M.,3DS,2015,Strategy
Corpse Party: Blood Covered - Repeated Fear,3DS,2015,Adventure
Criminal Girls 2,PSV,2015,Role-Playing
Cross Ange: Tenshi to Ryuu no Rondo tr.,PSV,2015,Action
Dark Souls II,PS4,2015,Role-Playing
Dark Souls II,XOne,2015,Role-Playing
Darksiders II,PS4,2015,Action
Darksiders II,XOne,2015,Action
Date-A-Live Twin Edition: Rio Reincarnation,PSV,2015,Action
Dead or Alive 5,PS4,2015,Fighting
Dead or Alive 5,XOne,2015,Fighting
Deadpool,PS4,2015,Action
Deadpool,XOne,2015,Action
Destiny: The Taken King,PS4,2015,Shooter
Destiny: The Taken King,XOne,2015,Shooter
Destiny: The Taken King,PS3,2015,Shooter
Destiny: The Taken King,X360,2015,Shooter
Devil May Cry 4,PS4,2015,Action
