Name,Platform,Year_of_Release,Genre
Sherlock Holmes: The Devil's Daughter,PS4,2016,Adventure
Shin Hayarigami 2,PSV,2016,Adventure
Shin Hayarigami 2,PS4,2016,Adventure
Shin Megami Tensei IV: Final,3DS,2016,Role-Playing
Shitsuji ga Aruji o Erabu Toki,PSV,2016,Adventure
Sid Meier's Civilization VI,PC,2016,Strategy
Skylanders Imaginators,WiiU,2016,Platform
Skylanders Imaginators,PS4,2016,Platform
Skylanders Imaginators,PS3,2016,Platform
Skylanders Imaginators,XOne,2016,Platform
Skylanders Imaginators,X360,2016,Platform
Song of the Deep,PS4,2016,Action
Song of the Deep,XOne,2016,Action
Song of the Deep,PC,2016,Action
Sonic Boom: Fire & Ice,3DS,2016,Platform
Star Fox: Zero,WiiU,2016,Shooter
Star Ocean 5: Integrity and Faithlessness,PS4,2016,Role-Playing
Star Ocean 5: Integrity and Faithlessness,PS3,2016,Role-Playing
Stellaris,PC,2016,Strategy
Storm Lover 2nd V,PSV,2016,Adventure
Story of Seasons: Good Friends of the Three Villages,3DS,2016,Simulation
Strawberry Nauts,PSV,2016,Adventure
Street Fighter V,PS4,2016,Fighting
Street Fighter V,PC,2016,Fighting
Sumikko Gurashi: Mura o Tsukurundesu,3DS,2016,Misc
Summon Night 6: Lost Borders,PSV,2016,Action
Summon Night 6: Lost Borders,PS4,2016,Action
Super Battle For Money Sentouchuu: Kyuukyoku no Shinobu to Battle Player Choujou Kessen!,3DS,2016,Action
Super Dungeon Bros,PS4,2016,Action
Super Robot Wars OG: The Moon Dwellers,PS4,2016,Misc
Super Robot Wars OG: The Moon Dwellers,PS3,2016,Misc
Super Stardust Ultra VR,PS4,2016,Shooter
Superdimension Neptune vs Sega Hard Girls,PSV,2016,Role-Playing
Sword Art Online: Hollow Realization,PS4,2016,Role-Playing
Sword Art Online: Hollow Realization,PSV,2016,Role-Playing
Taiko no Tatsujin: Don Don! Mystery Adventure,3DS,2016,Action
Taishou Moebius Line Vitable,PSV,2016,Adventure
Taishou x Alice: All in One,PSV,2016,Adventure
Tales of Berseria,PS4,2016,Role-Playing
Tales of Berseria,PS3,2016,Role-Playing
Teddy Together,3DS,2016,Simulation
Teenage Mutant Ninja Turtles: Mutants in Manhattan,PS4,2016,Action
Teenage Mutant Ninja Turtles: Mutants in Manhattan,PS3,2016,Action
Teenage Mutant Ninja Turtles: Mutants in Manhattan,XOne,2016,Action
Teenage Mutant Ninja Turtles: Mutants in Manhattan,X360,2016,Action
Terraria,3DS,2016,Action
Terraria,WiiU,2016,Action
The Book of Unwritten Tales 2,WiiU,2016,Adventure
The Elder Scrolls V: Skyrim,PS4,2016,Role-Playing
The Elder Scrolls V: Skyrim,XOne,2016,Role-Playing
The Heavy Rain and Beyond: Two Souls Collection,PS4,2016,Action
The Idolmaster: Platinum Stars,PS4,2016,Simulation
The King of Fighters XIV,PS4,2016,Fighting
The Legend of Heroes: Trails in the Sky Third Chapter,PSV,2016,Role-Playing
The Legend of Zelda: Twilight Princess HD,WiiU,2016,Action
The Longest 5 Minutes,PSV,2016,Action
The Sims 4: City Living,PC,2016,Simulation
The Technomancer,PS4,2016,Role-Playing
The Technomancer,XOne,2016,Role-Playing
The Technomancer,PC,2016,Role-Playing
This War of Mine,PS4,2016,Action
Titanfall 2,PS4,2016,Shooter
Titanfall 2,XOne,2016,Shooter
Titanfall 2,PC,2016,Shooter
Tokyo Xanadu eX+,PS4,2016,Role-Playing
Tom Clancy's The Division,PS4,2016,Shooter
Tom Clancy's The Division,XOne,2016,Shooter
Tom Clancy's The Division,PC,2016,Shooter
Total War Attila: Tyrants & Kings,PC,2016,Strategy
Total War: WARHAMMER,PC,2016,Strategy
Touhou Genso Rondo: Bullet Ballet,PS4,2016,Shooter
Toukiden 2,PSV,2016,Action
Toukiden 2,PS4,2016,Action
Toukiden 2,PS3,2016,Action
TrackMania Turbo,PS4,2016,Action
TrackMania Turbo,XOne,2016,Action
TrackMania Turbo,PC,2016,Action
Transport Fever,PC,2016,Simulation
TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.8,PS3,2016,Misc
TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.9,PS3,2016,Misc
UEFA Euro 2016,PS4,2016,Sports
UEFA Euro 2016,PS3,2016,Sports
Uncharted 4: A Thief's End,PS4,2016,Shooter
Until Dawn: Rush of Blood,PS4,2016,Adventure
Uppers,PSV,2016,Action
Uta no Prince-Sama: Music 3,PSV,2016,Action
Utawarerumono: Futari no Hakuoro,PSV,2016,Misc
Utawarerumono: Futari no Hakuoro,PS4,2016,Misc
Utawarerumono: Futari no Hakuoro,PS3,2016,Misc
Valentino Rossi: The Game,PS4,2016,Racing
Valentino Rossi: The Game,XOne,2016,Racing
Valentino Rossi: The Game,PC,2016,Racing
Valkyria Chronicles,PS4,2016,Role-Playing
Wand of Fortune R,PSV,2016,Adventure
Warhammer: The End Times - Vermintide,PS4,2016,Action
Watch Dogs 2,PS4,2016,Action
Watch Dogs 2,XOne,2016,Action
Winning Post 8 2016,PS4,2016,Simulation
Winning Post 8 2016,PSV,2016,Simulation
World of Final Fantasy,PS4,2016,Role-Playing
World of Final Fantasy,PSV,2016,Role-Playing
World of Warcraft: Legion,PC,2016,Role-Playing
Worms: WMD,PS4,2016,Action
Worms: WMD,XOne,2016,Action
WWE 2K17,PS4,2016,Sports
WWE 2K17,XOne,2016,Sports
WWE 2K17,PS3,2016,Sports
WWE 2K17,X360,2016,Sports
XCOM 2,PC,2016,Strategy
XCOM 2,PS4,2016,Strategy
XCOM 2,XOne,2016,Strategy
Yahari Game Demo Ore no Seishun Love-Kome wa Machigatteiru. Zoku,PSV,2016,Adventure
Yakuza Kiwami,PS4,2016,Adventure
Yakuza Kiwami,PS3,2016,Adventure
Yokai Sangokushi,3DS,2016,Action
Yokai Watch 3,3DS,2016,Action
Ys VIII: Lacrimosa of Dana,PSV,2016,Role-Playing
Yuusha Shisu.,PSV,2016,Role-Playing
Zero Escape: Zero Time Dilemma,3DS,2016,Adventure
Zero Escape: Zero Time Dilemma,PSV,2016,Adventure
Zettai Kaikyuu Gakuen: Eden with Roses and Phantasm,PSV,2016,Adventure
ZombiU,PS4,2016,Action
ZombiU,XOne,2016,Action
Brothers Conflict: Precious Baby,PSV,2017,Action
Phantasy Star Online 2 Episode 4: Deluxe Package,PS4,2017,Role-Playing
Phantasy Star Online 2 Episode 4: Deluxe Package,PSV,2017,Role-Playing
Imagine: Makeup Artist,DS,2020,Simulation
