114,Pinball,NES,1984,Action,2
115,Xevious,NES,1984,Shooter,2
116,F1 Race,NES,1984,Racing,2
117,4 Nin uchi Mahjong,NES,1984,Misc,1
118,Hogan's Alley,NES,1984,Shooter,1
119,Pac-Man,NES,1984,Puzzle,1
120,Lode Runner,NES,1984,Puzzle,1
121,Clu Clu Land,NES,1984,Puzzle,1
122,Mappy,NES,1984,Platform,1
123,Ghostbusters,Atari 2600,1985,Puzzle,0
124,Strongest Tokyo University Shogi DS,DS,1985,Action,0
125,Super Mario Bros.,NES,1985,Platform,40
126,Kung Fu,NES,1985,Action,4
127,Soccer,NES,1985,Sports,2
128,Ice Climber,NES,1985,Platform,2
129,Gyromite,NES,1985,Puzzle,1
130,Tag Team Match M.U.S.C.L.E.,NES,1985,Fighting,1
131,Bomberman,NES,1985,Puzzle,1
132,1942,NES,1985,Shooter,1
133,Balloon Fight,NES,1985,Platform,1
134,Wrecking Crew,NES,1985,Platform,1
135,Dig Dug,NES,1985,Puzzle,0
136,Alter Ego,PC,1985,Simulation,0
137,Solaris,Atari 2600,1986,Shooter,0
138,RealSports Boxing,Atari 2600,1986,Sports,0
139,The Legend of Zelda,NES,1986,Action,7
140,World Class Track Meet,NES,1986,Sports,3
141,Metroid,NES,1986,Action,3
142,Super Mario Bros.: The Lost Levels,NES,1986,Platform,3
143,Dragon Warrior,NES,1986,Role-Playing,3
144,Pro Yakyuu Family Stadium,NES,1986,Sports,2
145,Rad Racer,NES,1986,Racing,2
146,Kid Icarus,NES,1986,Platform,2
147,Ghosts 'n Goblins,NES,1986,Action,2
148,Ninja Hattori Kun: Ninja wa Shuugyou Degogiru no Maki,NES,1986,Platform,2
149,Gradius,NES,1986,Shooter,1
150,Castlevania,NES,1986,Platform,1
151,TwinBee,NES,1986,Shooter,1
152,Ganbare Goemon! Karakuri Douchuu,NES,1986,Platform,1
153,Doraemon,NES,1986,Action,1
154,Commando,NES,1986,Action,1
155,Adventure Island,NES,1986,Platform,1
156,Star Soldier,NES,1986,Shooter,1
157,The Mysterious Murasame Castle,NES,1986,Action,1
158,Kung-Fu Master,Atari 2600,1987,Action,1
159,Commando,Atari 2600,1987,Action,0
160,Defender II,Atari 2600,1987,Shooter,0
161,Desert Falcon,Atari 2600,1987,Shooter,0
162,Super Football,Atari 2600,1987,Sports,0
163,Super Baseball,Atari 2600,1987,Sports,0
164,Zelda II: The Adventure of Link,NES,1987,Adventure,4
165,Mike Tyson's Punch-Out!!,NES,1987,Fighting,3
166,Dragon Warrior II,NES,1987,Role-Playing,3
167,Pro Wrestling,NES,1987,Fighting,2
168,Volleyball,NES,1987,Sports,2
169,Pro Yakyuu Family Stadium '87,NES,1987,Sports,1
170,Gegege no Kitarou 2: Youkai Gundan no Chousen,NES,1987,Role-Playing,1
171,Castlevania II: Simon's Quest,NES,1987,Platform,1
172,Final Fantasy,NES,1987,Role-Playing,1
173,Mega Man,NES,1987,Platform,1
174,River Raid II,Atari 2600,1988,Shooter,1
175,Rampage,Atari 2600,1988,Action,0
176,Disney's DuckTales,GB,1988,Platform,1
177,Super Mario Bros. 3,NES,1988,Platform,17
178,Super Mario Bros. 2,NES,1988,Platform,7
179,Tetris,NES,1988,Puzzle,6
180,Dragon Warrior III,NES,1988,Role-Playing,4
181,Ice Hockey,NES,1988,Sports,2
182,R.C. Pro-Am,NES,1988,Racing,2
183,Donkey Kong Classics,NES,1988,Platform,2
184,Mega Man 2,NES,1988,Action,2
185,Dragon Ball: Daimaou Fukkatsu,NES,1988,Role-Playing,1
186,Pro Yakyuu Family Stadium '88,NES,1988,Sports,1
187,Final Fantasy II,NES,1988,Role-Playing,1
188,SimCity,PC,1988,Simulation,0
189,Double Dragon,Atari 2600,1989,Action,0
190,Klax,Atari 2600,1989,Puzzle,0
191,Tetris,GB,1989,Puzzle,30
192,Super Mario Land,GB,1989,Platform,18
193,Dr. Mario,GB,1989,Puzzle,5
194,Golf,GB,1989,Sports,2
195,Tennis,GB,1989,Sports,2
196,Alleyway,GB,1989,Puzzle,2
197,Baseball,GB,1989,Sports,2
198,Yakuman,GB,1989,Misc,1
199,SolarStriker,GB,1989,Shooter,1
200,The Final Fantasy Legend,GB,1989,Role-Playing,1
201,Teenage Mutant Ninja Turtles,NES,1989,Action,4
202,Disney's DuckTales,NES,1989,Platform,2
203,Famicom Jump: Eiyuu Retsuden,NES,1989,Role-Playing,1
204,Castlevania III: Dracula's Curse,NES,1989,Platform,1
205,Adventures of Lolo,NES,1989,Puzzle,0
206,F-1 Race,GB,1990,Racing,3
207,Qix,GB,1990,Puzzle,1
208,Extra Bases,GB,1990,Sports,0
209,Streets of Rage,GEN,1990,Action,3
210,Dr. Mario,NES,1990,Puzzle,5
211,Dragon Warrior IV,NES,1990,Role-Playing,3
212,Teenage Mutant Ninja Turtles II: The Arcade Game,NES,1990,Action,2
213,Nintendo World Cup,NES,1990,Sports,1
214,Final Fantasy III,NES,1990,Role-Playing,1
215,Disney's Chip 'n Dale: Rescue Rangers,NES,1990,Platform,1
216,Mega Man 3,NES,1990,Platform,1
217,Famista '91,NES,1990,Sports,0
218,Super Mario World,SNES,1990,Platform,21
219,F-Zero,SNES,1990,Racing,3
220,Final Fight,SNES,1990,Action,2
221,Pilotwings,SNES,1990,Simulation,1
222,Metroid II: Return of Samus,GB,1991,Adventure,2
223,Super R.C. Pro-Am,GB,1991,Racing,1
224,Final Fantasy Legend III,GB,1991,Role-Playing,1
225,Yoshi,GB,1991,Puzzle,1
226,Final Fantasy Adventure,GB,1991,Role-Playing,0
227,Mega Man: Dr. Wily's Revenge,GB,1991,Platform,0
228,Mega Man II,GB,1991,Platform,0
229,GameBoy Wars,GB,1991,Strategy,0
230,Teenage Mutant Ninja Turtles II: Back from the Sewers,GB,1991,Action,0
231,Sonic the Hedgehog,GEN,1991,Platform,4
232,Yoshi,NES,1991,Puzzle,2
233,Teenage Mutant Ninja Turtles III: The Manhattan Project,NES,1991,Action,1
234,NES Open Tournament Golf,NES,1991,Sports,1
235,Mega Man 4,NES,1991,Platform,1
236,Bomberman II,NES,1991,Puzzle,0
237,Tetris 2 + Bombliss,NES,1991,Puzzle,0
238,Famista '92,NES,1991,Sports,0
239,The Legend of Zelda: A Link to the Past,SNES,1991,Action,5
240,SimCity,SNES,1991,Simulation,2
241,Final Fantasy II,SNES,1991,Role-Playing,2
242,Super Scope 6,SNES,1991,Shooter,2
243,Super Ghouls 'n Ghosts,SNES,1991,Platform,1
244,Super Castlevania IV,SNES,1991,Platform,1
245,The Legend of the Mystical Ninja,SNES,1991,Adventure,0
246,Super Wagyan Land,SNES,1991,Action,0
247,Super Fire ProWrestling,SNES,1991,Fighting,0
248,Super Soccer,SNES,1991,Sports,0
249,Battle Dodge Ball,SNES,1991,Sports,0
250,Kidou Senshi Gundam F91: Formula Senki 0122,SNES,1991,Strategy,0
251,SD Gundam Gaiden: Knight Gundam Monogatari: Ooinaru Isan,SNES,1991,Role-Playing,0
252,Lord of Darkness,SNES,1991,Action,0
253,Romance of the Three Kingdoms II,SNES,1991,Strategy,0
254,Super R-Type,SNES,1991,Shooter,0
255,Super Baseball Simulator 1.000,SNES,1991,Sports,0
256,Battle Commander: Hachibushu Shura no Heihou,SNES,1991,Strategy,0
257,SimEarth: The Living Planet,SNES,1991,Simulation,0
258,World League Soccer,SNES,1991,Sports,0
259,UN Squadron,SNES,1991,Shooter,0
260,Chibi Maruko-Chan: Harikiri 365-Nichi no Maki,SNES,1991,Misc,0
261,John Madden Football,SNES,1991,Sports,0
262,Lagoon,SNES,1991,Role-Playing,0
263,Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure,11
264,Kirby's Dream Land,GB,1992,Platform,5
265,The Legend of Zelda: Link's Awakening,GB,1992,Action,4
266,Kirby's Pinball Land,GB,1992,Misc,2
267,Yoshi's Cookie,GB,1992,Puzzle,2
268,Tetris 2 (All region sales),GB,1992,Puzzle,1
269,Tetris 2 (weekly jp sales),GB,1992,Puzzle,0
270,Sonic the Hedgehog 2,GEN,1992,Platform,6
271,Mortal Kombat,GEN,1992,Fighting,3
272,NBA Jam,GEN,1992,Sports,2
273,Street Fighter II': Special Champion Edition,GEN,1992,Fighting,2
274,Gunstar Heroes,GEN,1992,Shooter,0
275,Ecco the Dolphin,GEN,1992,Adventure,0
276,Sonic the Hedgehog 2 (8-bit),GG,1992,Platform,0
277,Yoshi's Cookie,NES,1992,Puzzle,1
278,Mega Man 5,NES,1992,Platform,1
279,Teenage Mutant Ninja Turtles: Tournament Fighters,NES,1992,Fighting,0
280,SimCity 2000,PC,1992,Simulation,2
281,The 7th Guest,PC,1992,Adventure,1
282,Syndicate,PC,1992,Strategy,0
283,Doom,PC,1992,Shooter,0
284,Empire Deluxe,PC,1992,Strategy,0
285,Super Mario Kart,SNES,1992,Racing,9
286,Street Fighter II: The World Warrior,SNES,1992,Fighting,6
287,Street Fighter II Turbo,SNES,1992,Fighting,4
288,Dragon Quest V: Tenkuu no Hanayome,SNES,1992,Role-Playing,3
289,Mario Paint,SNES,1992,Misc,3
290,Final Fantasy V,SNES,1992,Role-Playing,2
291,The Magical Quest starring Mickey Mouse,SNES,1992,Platform,1
292,Romancing SaGa,SNES,1992,Role-Playing,1
293,Dragon Ball Z: Chou Saiya Densetsu,SNES,1992,Role-Playing,1
294,Super Bomberman,SNES,1992,Puzzle,1
295,Super Batter Up,SNES,1992,Sports,0
296,Fatal Fury,SNES,1992,Fighting,0
297,Romance of the Three Kingdoms III: Dragon of Destiny,SNES,1992,Strategy,0
298,F1 ROC: Race of Champions,SNES,1992,Sports,0
299,F-1 Grand Prix,SNES,1992,Racing,0
300,Super Adventure Island,SNES,1992,Platform,0
301,Otogirisou,SNES,1992,Adventure,0
302,Battle Soccer: Field no Hasha,SNES,1992,Sports,0
303,Contra III: The Alien Wars,SNES,1992,Shooter,0
304,Dragon Slayer: The Legend of Heroes,SNES,1992,Role-Playing,0
305,Teenage Mutant Ninja Turtles: Tournament Fighters,SNES,1992,Fighting,0
306,,GEN,1993,,2
307,Shining Force II,GEN,1993,Strategy,0
308,Super Street Fighter II,GEN,1993,Fighting,0
309,Ecco: The Tides of Time,GEN,1993,Adventure,0
